1	5	5
2	6	9
3	1	34
4	3	20
5	2	27
6	1	14
7	5	32
8	4	24
9	3	47
10	4	23
11	5	42
12	3	16
13	1	45
14	1	10
15	2	34
16	6	43
17	4	27
18	4	30
19	3	44
20	5	13
21	3	31
22	1	48
23	3	5
24	1	13
25	3	28
26	1	39
27	5	5
28	4	11
29	2	25
30	6	12
31	2	48
32	2	19
33	3	14
34	1	22
35	5	24
36	1	8
37	4	22
38	3	41
39	1	26
40	4	48
41	3	49
42	1	28
43	5	16
44	3	10
45	1	22
46	1	38
47	4	25
48	2	22
49	1	19
50	2	45
51	4	40
52	3	31
53	4	34
54	2	24
55	1	23
56	4	21
57	3	36
58	1	10
59	4	30
60	2	20
61	1	8
62	5	30
63	2	13
64	4	12
65	1	23
66	2	29
67	2	23
68	5	15
69	4	19
70	6	9
71	4	20
72	5	39
73	6	46
74	1	27
75	1	26
76	2	22
77	3	46
78	5	42
79	2	16
80	6	9
81	3	34
82	4	50
83	3	44
84	1	24
85	2	11
86	5	31
87	6	20
88	4	46
89	3	31
90	4	27
91	2	9
92	5	12
93	3	19
94	3	38
95	4	39
96	3	42
97	3	34
98	5	34
99	1	20
100	6	35
101	5	50
102	5	14
103	6	10
104	2	8
105	5	47
106	4	21
107	3	39
108	6	11
109	5	19
110	5	42
111	5	12
112	3	15
113	3	22
114	1	17
115	6	24
116	6	21
117	2	35
118	2	26
119	5	23
120	6	15
121	3	30
122	3	13
123	4	11
124	2	49
125	2	48
126	3	39
127	6	7
128	5	23
129	1	24
130	4	34
131	3	30
132	6	36
133	5	27
134	4	40
135	3	24
136	1	10
137	5	34
138	3	24
139	2	10
140	5	13
141	2	29
142	2	22
143	3	14
144	1	50
145	2	47
146	2	30
147	1	31
148	1	25
149	4	19
150	4	36
151	5	15
152	2	11
153	4	9
154	4	23
155	5	29
156	5	8
157	2	16
158	5	15
159	5	11
160	6	34
161	4	26
162	2	32
163	4	31
164	3	13
165	6	43
166	4	20
167	6	6
168	3	47
169	5	11
170	1	25
171	1	6
172	5	45
173	4	14
174	4	12
175	4	11
176	2	41
177	1	19
178	1	30
179	2	32
180	3	23
181	5	44
182	3	11
183	2	50
184	4	32
185	1	37
186	1	37
187	4	26
188	1	26
189	3	13
190	5	39
191	4	36
192	1	13
193	2	14
194	4	13
195	2	47
196	3	20
197	3	30
198	2	11
199	2	11
200	5	19
201	1	45
202	1	37
203	2	17
204	4	20
205	4	37
206	3	5
207	6	44
208	2	50
209	6	39
210	3	28
211	5	14
212	6	19
213	6	42
214	1	44
215	5	25
216	2	26
217	3	8
218	4	12
219	2	15
220	4	8
221	1	17
222	5	26
223	1	40
224	2	24
225	3	16
226	6	27
227	2	10
228	5	12
229	6	26
230	2	22
231	5	28
232	3	42
233	6	7
234	2	43
235	3	25
236	2	50
237	1	49
238	4	39
239	1	13
240	5	29
241	3	39
242	6	48
243	3	49
244	1	19
245	6	21
246	6	17
247	1	26
248	4	14
249	3	16
250	5	11
251	3	7
252	4	22
253	4	41
254	1	12
255	6	39
256	5	36
257	2	29
258	5	22
259	5	27
260	4	7
261	2	14
262	1	12
263	5	43
264	4	18
265	5	48
266	6	10
267	4	10
268	3	39
269	4	10
270	5	37
271	5	23
272	3	47
273	1	10
274	2	28
275	1	5
276	1	46
277	3	39
278	6	40
279	6	26
280	4	5
281	6	18
282	6	11
283	5	14
284	4	29
285	6	15
286	3	40
287	4	19
288	5	12
289	1	7
290	4	35
291	1	47
292	3	7
293	6	32
294	3	6
295	1	31
296	3	6
297	4	7
298	5	14
299	6	46
300	4	21
301	2	39
302	3	7
303	5	17
304	2	18
305	5	31
306	1	39
307	5	39
308	4	48
309	5	40
310	2	48
311	6	29
312	5	19
313	5	11
314	2	8
315	2	23
316	4	26
317	1	19
318	2	22
319	1	8
320	1	21
321	5	44
322	6	42
323	6	6
324	5	9
325	6	9
326	5	11
327	4	10
328	2	23
329	5	10
330	6	20
331	6	23
332	6	44
333	6	26
334	1	15
335	6	42
336	1	21
337	4	30
338	4	40
339	6	7
340	5	42
341	1	45
342	2	24
343	2	48
344	1	19
345	6	41
346	4	22
347	1	19
348	1	47
349	6	7
350	1	35
351	3	6
352	4	45
353	1	28
354	2	22
355	5	21
356	3	26
357	3	9
358	2	46
359	1	45
360	3	44
361	3	18
362	4	34
363	5	44
364	3	41
365	4	33
366	2	43
367	3	27
368	1	37
369	6	17
370	1	42
371	3	15
372	1	18
373	6	25
374	6	39
375	2	39
376	6	34
377	4	37
378	1	32
379	2	49
380	4	46
381	3	39
382	5	43
383	6	40
384	5	44
385	2	45
386	4	39
387	6	11
388	6	15
389	3	48
390	6	38
391	2	18
392	1	10
393	2	27
394	5	32
395	6	36
396	6	49
397	6	20
398	5	21
399	3	11
400	2	44
401	3	43
402	3	25
403	1	7
404	5	13
405	4	7
406	4	12
407	2	30
408	6	11
409	6	45
410	4	21
411	1	31
412	3	46
413	4	50
414	2	24
415	3	43
416	2	8
